genom dna lenght=12
mutation probability per bit=0.1
bias fitness=1e-39
number of Individuals per Generation=100
number of Generations=200
Search space [a,b]=[2,0]
Generation x y f(x,y) fitness
2 1.17558 1.38706 0.0333978 0.967154
2 1.1199 1.24982 0.0162814 0.98385
2 0.713553 0.50696 0.0825351 0.920779
2 1.17558 1.24982 1.77776 0.169016
2 1.17558 1.43736 0.337459 0.713581
2 1.23321 0.653968 75.1958 2.20221e-33
2 1.1199 1.24982 0.0162814 0.98385
2 1.17558 1.39048 0.0380327 0.962682
2 0.713553 0.505006 0.0837757 0.919638
2 1.1199 1.137 1.38761 0.249672
2 0.612943 0.284737 0.977207 0.376361
2 1.17558 0.507448 76.5129 5.90028e-34
2 1.08864 0.507448 45.9355 1.12323e-20
2 1.1199 1.24982 0.0162814 0.98385
2 0.713553 0.5558 0.299597 0.741117
2 0.713553 0.524542 0.105719 0.899678
2 1.17558 1.38999 0.0372274 0.963457
2 1.17558 1.43101 0.271174 0.762484
2 1.1199 1.24982 0.0162814 0.98385
2 1.1199 1.24347 0.0258547 0.974477
2 1.31136 1.71233 0.102302 0.902757
2 0.733089 0.507448 0.161071 0.851232
3 1.1199 1.24982 0.0162814 0.98385
3 1.08864 0.524542 43.6478 1.10664e-19
3 1.1746 1.24982 1.71726 0.179557
3 1.10769 0.556288 44.9947 2.87783e-20
3 0.713553 1.21172 49.4416 3.37118e-22
3 1.30745 1.24982 21.2181 6.09678e-10
3 1.1199 1.22784 0.0837687 0.919644
3 1.18242 0.507448 79.3614 3.41809e-35
3 0.713553 0.50696 0.0825351 0.920779
3 0.733089 0.507448 0.161071 0.851232
3 1.17558 1.43736 0.337459 0.713581
3 1.1199 0.5558 48.788 6.48067e-22
3 0.713553 0.530891 0.129285 0.878723
3 0.713065 0.5558 0.306425 0.736074
3 1.1199 1.24982 0.0162814 0.98385
3 1.1199 1.24982 0.0162814 0.98385
3 0.732601 0.50696 0.159974 0.852166
3 1.1199 0.507448 55.7754 5.98477e-25
3 1.1199 1.24982 0.0162814 0.98385
3 1.11306 1.39048 2.30992 0.0992693
3 1.17558 1.39048 0.0380327 0.962682
3 1.1199 1.24982 0.0162814 0.98385
3 1.1199 1.24347 0.0258547 0.974477
3 1.1199 1.71184 20.9599 7.89304e-10
3 1.1199 1.24982 0.0162814 0.98385
3 1.23272 0.556288 92.8522 4.72924e-41
3 0.713553 0.556288 0.304177 0.737731
3 0.737973 1.39048 71.6186 7.87851e-32
3 1.17558 1.38999 0.0372274 0.963457
3 0.963614 0.507448 17.7342 1.98673e-08
3 1.1746 1.24982 1.71726 0.179557
3 0.733089 0.562149 0.132395 0.875995
3 0.713553 0.562149 0.362855 0.695687
3 1.1199 0.524542 53.2517 7.46586e-24
3 1.08864 0.507448 45.9355 1.12323e-20
3 0.728694 0.5558 0.135138 0.873595
3 1.11941 0.5558 48.6353 7.55025e-22
3 1.17558 1.43736 0.337459 0.713581
3 1.17558 1.39048 0.0380327 0.962682
3 1.17558 1.71136 10.8791 1.88483e-05
3 1.1199 1.24982 0.0162814 0.98385
3 1.1243 0.0864469 138.689 1e-39
3 0.729182 0.507448 0.132188 0.876176
3 0.713553 0.524054 0.10424 0.901009
3 0.119658 1.24982 153.421 1e-39
3 0.713553 1.38999 77.6682 1.85843e-34
3 0.119658 1.14042 127.584 1e-39
3 0.713553 0.525031 0.107245 0.898305
3 1.1199 1.24884 0.0172294 0.982918
3 1.17558 1.39048 0.0380327 0.962682
3 1.18242 1.24982 2.2324 0.10727
3 1.17558 1.39048 0.0380327 0.962682
3 0.713553 0.524542 0.105719 0.899678
3 0.706716 1.39048 79.4793 3.03779e-35
3 1.17558 1.24982 1.77776 0.169016
3 0.713553 0.524542 0.105719 0.899678
3 0.728694 0.524542 0.0777702 0.925177
3 1.17558 1.39048 0.0380327 0.962682
3 0.713553 0.507448 0.0823442 0.920955
3 1.1199 1.2337 0.0563261 0.945231
3 1.17558 1.39048 0.0380327 0.962682
3 1.1199 1.1956 0.357501 0.699422
3 0.732601 0.556288 0.109857 0.895962
3 1.1199 0.50696 55.8484 5.56363e-25
3 0.713553 1.24884 54.795 1.59527e-24
3 1.2801 1.63272 0.081968 0.921301
3 0.119658 1.24982 153.421 1e-39
3 0.713553 1.24982 54.9396 1.3805e-24
3 1.17558 1.3895 0.0364699 0.964187
3 1.1199 1.05592 3.94505 0.0193502
3 1.1199 1.24347 0.0258547 0.974477
3 1.31136 1.71282 0.10161 0.903382
